title,processed,type
Vacation,vacation comedy hoping bring family closer together recreate childhood vacation kid grown rusty griswold take wife two son cross country road trip coolest theme park america walley world needless say thing go quite planned route grand canyon cow vacation road trip sequel dysfunctional family family vacation amusement park trucker roller coaster theme park airline pilot bipolar disorder plano texas ed helm christina applegate skyler gisondo john francis daley jonathan goldstein,movie
Get Shorty,get shorty comedy thriller crime chili palmer miami mobster get sent bos psychopathic bone barboni collect bad debt harry zimm hollywood producer specializes cheesy horror film chili meet harry leading lady romantic spark fly pitching life story movie idea chili learns mobster hollywood producer really different gambling miami based novel job murder travel mafia money debt mobster business hollywood gangster crime violence drug producer con john travolta gene hackman rene russo barry sonnenfeld,movie
Chicago,chicago action comedy crime drama music murderess velma kelly roxie hart find death row together fight fame keep gallows chicago chicago based stage musical prison matron jazz age nude man murdered catherine zeta jones ren e zellweger queen latifah rob marshall,movie
Big Daddy,big daddy comedy drama lazy law school grad adopts kid impress girlfriend everything go planned becomes unlikely foster father bachelor law vomit syracuse university law school young boy politically incorrect wetting pant central park public urination child point view responsibility immaturity adam sandler joey lauren adam kristy swanson dennis dugan,movie
American Pie 2,american pie comedy romance whole gang back close ever decide get even closer spending summer together beach house decide hold biggest party ever seen even preparation always go plan especially stifler finch jim become close ever want jim mistake super glue lubricant sex party summer beach house group friend gross comedy tantra mistaken special education student superglue sex comedy jason biggs thomas ian nicholas chris klein j b rogers,movie
Toy Story,toy story animation comedy family led woody andy toy live happily room andy birthday brings buzz lightyear onto scene afraid losing place andy heart woody plot buzz circumstance separate buzz woody owner duo eventually learns put aside difference jealousy toy boy friendship friend rivalry boy next door new toy toy come life tom hank tim allen rickles john lasseter,movie
Speed,speed action adventure crime los angeles swat cop jack traven bomb expert howard payne major ransom money first rigged elevator tall building rigged bus slows blow bad enough day nightmare la traffic still end bomb airport bus bus ride highway bomb planting keanu reef dennis hopper sandra bullock jan de bont,movie
The Vow,vow drama romance happy young married couple paige leo well happy car accident put paige life threatening coma upon awakening lost previous five year memory including beloved leo wedding confusing relationship parent ending relationship ex fiance despite complication leo endeavor win heart rebuild marriage coma amnesia based true story memory loss car accident romantic drama rachel mcadams channing tatum sam neill michael sucsy,movie
Extraordinary Measures,extraordinary measure drama working class father john crowley finally fast track corporate success two young child megan patrick diagnosed pompe disease condition prevents body breaking sugar support wife aileen john ditch career team unconventional specialist dr robert stonehill found bio tech company develop cure time save life megan patrick dr stonehill work tirelessly prove theory made black sheep medical community powerful bond forged two unlikely ally harrison ford brendan fraser keri russell tom vaughan,movie
Remember the Titans,remember titan drama leading football team winning season coach bill yoast demoted replaced herman boone tough opinionated different beloved yoast could two men learn overcome difference turn group hostile young men true champion ku klux klan american football trainer sport team race politics coaction apartheid sport high school racial segregation racist based true story american football player xenophobia head coach denzel washington patton ryan hurst boaz yakin,movie
The Hunt for Red October,hunt red october action adventure thriller new soviet nuclear missile sub boomer heading maiden voyage tracked los angeles class american submarine suddenly go silent disappears focus attention u intelligence u navy russian sub commander determined silent soviet boomer may headed american coastal water panic ensues cia analyst jack ryan convinces brass boomer commander may intend something nuclear first strike mind perilous tense cat mouse game ensues submarine cold war russian defection jack ryan alec baldwin sean connery scott glenn john mctiernan,movie
The Butler,butler drama look life cecil gaines served eight president white house head butler unique front row seat political racial history made white house butler biography civil right forest whitaker david banner michael rainey jr lee daniel,movie
DodgeBall: A True Underdog Story,dodgeball true underdog story comedy megalomaniacal white goodman owner trendy high end fitness center make move take struggling local gym run happy go lucky pete la fleur one way la fleur fight back dodgeball aided dodgeball guru goodman attorney la fleur rag tag team underdog launch knock drag battle winner take underdog competition bank bar ball cheerleader diet wife sport gymnasium pleite fitness studio love mail order bride cheerleading pirate aftercreditsstinger duringcreditsstinger vince vaughn christine taylor ben stiller rawson marshall thurber,movie
The Addams Family,addams family horror comedy fantasy uncle fester missing year evil doctor find introduces fake fester attempt get adam family money youngest daughter doubt new uncle fester fake uncle adapts well strange family doctor carry evil plan take adam family fortune dead wish vampire black humor uncle eccentric werewolf macabre loan shark accountant ra l juli anjelica huston christopher lloyd barry sonnenfeld,movie
Ace Ventura: When Nature Calls,ace ventura nature call crime comedy adventure summoned ashram tibet ace find perilous journey jungle africa find shikaka missing sacred animal friendly wachati tribe must accomplish wedding wachati princess prince warrior wachootoos ace fails result vicious tribal war africa indigenous human animal relationship bat jim carrey ian mcneice simon callow steve oedekerk,movie
The Princess Diaries,princess diary comedy family romance socially awkward bright year old girl raised single mom discovers princess small european country recent death long absent father unknown crown prince genovia must make choice continuing life san francisco teen stepping throne heir throne grandmother granddaughter relationship high school princess royalty teenager popularity social outcast based young adult novel anne hathaway julie andrew heather matarazzo garry marshall,movie
The First Wives Club,first wife club comedy year helping hubby climb ladder success three mid life manhattanites dumped newer curvier model trio determined turn pain gain come cleverly devious plan hit ex really hurt wallet divorce divorced woman reunited friend goldie hawn bette midler diane keaton hugh wilson,movie
Se7en,se en crime mystery thriller two homicide detective desperate hunt serial killer whose crime based seven deadly sin dark haunting film take viewer tortured remains one victim next seasoned det sommerset research sin effort get inside killer mind novice partner mill scoff effort unravel case self fulfilling prophecy detective w drug dealer evisceration lust impulsiveness rage hate pride vanity immoderateness insomnia investigation pension police serial killer brad pitt morgan freeman gwyneth paltrow david fincher,movie
District 9,district science fiction alien land south africa ship totally disabled way home year later living slum wearing welcome non human moved new tent city overseen multi national united mnu slum street gang mutation south africa johannesburg dystopia genetics government satire alien prawn mockumentary alternate history racism metamorphosis xenophobia internment camp body transformation alien technology segregation sharlto copley jason cope nathalie boltt neill blomkamp,movie
The SpongeBob SquarePants Movie,spongebob squarepants movie animation comedy family trouble brewing bikini bottom someone stolen king neptune crown look like mr krab spongebob bos culprit though passed promotion dream spongebob stand bos along best pal patrick set treacherous mission shell city reclaim crown save mr krab life ocean sea star water freeze spongebob tom kenny clancy brown rodger bumpass stephen hillenburg,movie
Mystic River,mystic river thriller crime drama mystery story friendship loyalty guilt vengeance fateful affect past present child abuse sexual abuse loss child repayment suppressed past arbitrary law boston worker quarter reference sprite child sean penn tim robbins kevin bacon clint eastwood,movie
Million Dollar Baby,million dollar baby drama despondent painful estrangement daughter trainer frankie dunn prepared boxer maggie fitzgerald enter life maggie determined go pro convince dunn cohort help transporter suicide attempt strong woman boxer dying death stroke fate training advancement sport female protagonist boxing trainer determination clint eastwood hilary swank morgan freeman clint eastwood,movie
Analyze This,analyze comedy crime countless wiseguy film spoofed film center neurosis angst powerful mafia racketeer suffers panic attack paul vitti need help dealing role family unlucky shrink dr ben sobel given day resolve vitti emotional crisis turn happy well adjusted gangster new york mafia bos wedding psychiatrist robert de niro billy crystal lisa kudrow harold ramis,movie
The Notebook,notebook romance drama epic love story centered around older man read aloud woman alzheimer faded notebook old man word bring life story couple separated world war ii passionately reunited seven year later taken different path poem river sadness fight love one life dementia class secret love tear candle mailbox rachel mcadams ryan gosling gena rowlands nick cassavetes,movie
27 Dresses,dress comedy romance altruistic jane find facing worst nightmare younger sister announces engagement man jane secretly adores lovesickness newspaper bar sister sister relationship new love wedding planer witness bride bridesmaid sister music romantic comedy sibling rivalry reporter wedding woman director katherine heigl james marsden malin kerman anne fletcher,movie
Hannah Montana: The Movie,hannah montana movie comedy drama family music romance miley stewart aka pop star hannah montana get caught superstar celebrity lifestyle dad decides time total change scenery sweet nibblets miley must trade glitz glamour hollywood ol blue jean family farm tennessee question miley stewart hannah montana little help friend awesome guest star taylor swift rascal flatts vanessa williams figure whether choose hannah miley double life pop star musical tennessee teenage girl teen movie teenager hometown famous miley cyrus billy ray cyrus emily osment peter chelsom,movie
Rugrats in Paris: The Movie,rugrats paris movie adventure animation comedy family rugrats back tommy brave one chuckie timid one phil lil odd couple dil spoiled brat angelica time wreaking havoc paris france tommy dad stu summoned yet another one invention took dump paris invention e g daily susan sarandon john lithgow stig bergqvist,movie
The Prince of Tides,prince tide drama romance troubled man talk suicidal sister psychiatrist family history fall love process american football trainer twin sister suppressed past psychiatrist extramarital affair woman director nick nolte barbra streisand blythe danner barbra streisand,movie
Legends of the Fall,legend fall adventure drama romance war epic tale three brother father living remote wilderness usa life affected nature history war love brother brother relationship montana based novel world war journey round world brad pitt anthony hopkins aidan quinn edward zwick,movie
Up in the Air,air drama romance george clooney play dry cynical character ryan bingham executive specializes downsizing ryan life suitcase traveling country sole purpose terminating unwanted employee day day ryan reach life long goal ten million mile frequent flyer mark major change come way change threaten crack cold heartless exterior ryan bingham suitcase business omaha road downsizing cross country duringcreditsstinger george clooney vera farmiga anna kendrick jason reitman,movie
About Schmidt,schmidt drama comedy year old warren schmidt retired insurance salesman particular plan drive around motor home wife insisted buy altogether bitter happy either everything wife annoys disapproves man daughter marry wife suddenly dy set postpone imminent marriage daughter man like coping discovery late wife process wife husband relationship channel surfing mullet spiritual journey life changing pioneer village family gathering jack nicholson kathy bates hope davis alexander payne,movie
Warm Bodies,warm body horror comedy romance zombie becomes involved girlfriend one victim romance set motion sequence event might transform entire lifeless world post apocalyptic dystopia zombie zombie apocalypse interspecies romance based young adult novel nicholas hoult teresa palmer analeigh tipton jonathan levine,movie
Looper,looper action thriller science fiction futuristic action thriller looper time travel invented illegal available black market mob want get rid someone send target year past looper hired gun like joe waiting mop joe getting rich life good day mob decides close loop sending back joe future self assassination suicide assassin drug addiction future time travel dystopia retirement boy murder organized crime tragedy execution violence criminal drug addict contract killer neo noir joseph gordon levitt bruce willis emily blunt rian johnson,movie
Down to Earth,earth fantasy comedy science fiction romance dying time aspiring comic get second shot life reincarnated wealthy un likable businessman chris rock regina king chazz palminteri chris weitz paul weitz,movie
Babe,babe fantasy drama comedy family babe little pig quite know place world bunch odd friend like ferdinand duck think rooster fly dog call mom babe realizes making become greatest sheep pig time farmer hogget know help sheep dog babe learns pig anything want sheep pig affection piglet heroism talking animal separation german shepherd grandson talking pig christine cavanaugh miriam margolyes danny mann chris noonan,movie
Hope Springs,hope spring drama comedy romance thirty year marriage middle aged couple attends intense week long counseling session work relationship renewing wedding vow marriage counselling meryl streep steve carell tommy lee jones david frankel,movie
Forgetting Sarah Marshall,forgetting sarah marshall comedy romance drama sarah marshall dump aspiring musician peter bretter rock star aldous snow peter world come crashing best friend suggests peter get away everything fly hawaii escape problem arriving hawaii meeting beautiful rachel jansen peter shocked see aldous snow hawaii also sarah marshall hawaii one night stand beauty jason segel kristen bell mila kunis nicholas stoller,movie
Four Brothers,four brother action crime four adopted brother return detroit hometown mother murdered vow exact revenge killer brother brother relationship robbery arbitrary law adoptive mother revenge murder violence detroit duringcreditsstinger interracial adoption mark wahlberg tyrese gibson andr benjamin john singleton,movie
Baby Mama,baby mama comedy successful single businesswoman dream baby discovers infertile hire working class woman unlikely surrogate pregnancy birth surrogate mother tina fey amy poehler dax shepard michael mccullers,movie
Hope Floats,hope float drama romance birdee pruitt humiliated live television best friend connie sleeping birdee husband bill birdee try starting daughter bernice returning small texas hometown faced petty old acquaintance thrilled see birdee unhappy except friend justin help birdee get back foot love begin blossom texas telegram despair leaving one family funeral costume loss high school judgment dog pond sandra bullock harry connick jr gena rowlands forest whitaker,movie
Bride Wars,bride war comedy two best friend become rival respective wedding accidentally booked day bride friendship engagement rivalry wedding family feud anne hathaway kate hudson bryan greenberg gary winick,movie
Without a Paddle,without paddle action adventure comedy thriller three friend whose life drifting apart reunite funeral fourth childhood friend looking childhood belonging discover trunk contained detail quest friend attempting revealed hot trail went missing airplane hijacker b cooper decide continue journey understand danger soon encounter death friend treasure hunt seth green matthew lillard dax shepard steven brill,movie
13 Going on 30,going comedy fantasy romance total humiliation thirteenth birthday party jenna rink want hide thirty little magic wish granted turn thirty always awesome thought would new york photographer editor chief wish michael jackson child adult best friend love jennifer garner mark ruffalo judy greer gary winick,movie
Midnight in Paris,midnight paris fantasy comedy romance romantic comedy family traveling french capital business party includes young engaged couple forced confront illusion life different better paris painter detective based novel screenwriter forbidden love time travel midnight nostalgia past sculpture hemingway owen wilson rachel mcadams kurt fuller woody allen,movie
The Nut Job,nut job animation comedy family adventure surly curmudgeon independent squirrel banished park forced survive city lucky stumble one thing may able save life rest park community gear winter maury nut store squirrel arnett katherine heigl brendan fraser peter lepeniotis,movie
Blow,blow crime drama boy named george jung grows struggling family mother nag husband trying make living family finally revealed george father make living family go bankrupt george want thing happen friend tuna suggests deal marijuana big hit california yet go jail find wonder cocaine result released get rich bringing cocaine america however soon pay price war drug drug addiction drug traffic drug smuggle rise fall johnny depp pen lope cruz ethan suplee ted demme,movie
Message in a Bottle,message bottle romance drama woman find romantic letter bottle washed ashore track author widowed shipbuilder whose wife died tragically early deep mutual attraction blossom man struggle make peace past move find happiness sailboat anonymous letter sailing love letter bottle kevin costner robin wright paul newman luis mandoki,movie
Star Trek V: The Final Frontier,star trek v final frontier science fiction action adventure thriller capt kirk crew must deal mr spock half brother kidnaps three diplomat hijack enterprise obsessive search god federation starfleet us enterprise sha ka ree loss brother self sacrifice hostage liberation hostage romulans klingon vulcan space opera william shatner leonard nimoy deforest kelley william shatner,movie
Like Mike,like mike comedy drama family fantasy calvin friend live orphanage find old shoe faded letter mj connected powerline one stormy night go get shoe calvin shoe struck lightning calvin unbelievable basketball power chance play nba bet lightning sport team sport basketball bullying orphanage teenager shad moss morris chestnut jonathan lipnicki john schultz,movie
The Naked Gun 33⅓: The Final Insult,naked gun final insult comedy crime frank drebin persuaded retirement go undercover state prison find top terrorist rocco planned escape frank wife jane desperate baby add frank problem host celebrity academy award ceremony humiliated frank blunder way trying foil rocco undercover spoof state prison leslie nielsen priscilla presley george kennedy peter segal,movie
A View to a Kill,view kill adventure action thriller newly developed microchip designed zorin industry british government survive electromagnetic radiation caused nuclear explosion landed hand kgb james bond must find suspicion soon lead big industry leader max zorin paris london england france england san francisco horse race fire helicopter drug abuse terrorist secret identity fireman fire engine villain ascot silicon valley zeppelin earthquake snowboarding microchip doping racehorse flooding pipeline snow british secret service skiing roger moore christopher walken tanya robert john glen,movie
The Curse of the Were-Rabbit,curse rabbit adventure animation comedy family cheese loving eccentric wallace cunning canine pal gromit investigate mystery nick park animated adventure lovable inventor intrepid pup run business ridding town garden pest using humane method turn home halfway house evicted vermin pair stumble upon mystery involving voracious vegetarian monster threatens ruin annual veggie growing contest competition garden vegetable stop motion animation contest dog rabbit pest control giant vegetable wallace gromit peter sallis helena bonham carter ralph fiennes nick park steve box,movie
P.S. I Love You,p love drama romance young widow discovers late husband left message intended help ease pain start new life job hopping irland shoe seller letter dying death loss husband hilary swank gerard butler lisa kudrow richard lagravenese,movie
Racing Stripes,racing stripe comedy shattered illusion hard repair especially good hearted zebra named stripe spent life kentucky farm amidst sorely mistaken notion debonair thoroughbred face fact stark stripe mark different decides race anyway help young girl raised might end winner circle love animal horse identity crisis farm zebra frankie muniz mandy moore hayden panettiere frederik du chau,movie
Atonement,atonement drama romance year old fledgling writer briony tallis irrevocably change course several life accuses older sister lover crime commit based novel sister sister relationship flirt loss sister new love world war ii book mistake innocence author redemption summer keira knightley james mcavoy romola garai joe wright,movie
Letters to Juliet,letter juliet comedy drama romance american girl vacation italy find unanswered letter juliet one thousand missive left fictional lover verona courtyard typically answered secretary juliet go quest find lover referenced letter italy letter romantic comedy american abroad boyfriend girlfriend italian stereotype verona italy quest amanda seyfried christopher egan gael garc bernal gary winick,movie
Black Rain,black rain action thriller crime two new york cop get involved gang war member yakuza japanese mafia arrest one killer ordered escort back japan japan however manages escape try track get deeper deeper japanese mafia scene learn win playing game japanese way japan yakuza japanese mafia michael douglas andy garc kate capshaw ridley scott,movie
The Three Stooges,three stooge comedy trying save childhood orphanage moe larry curly inadvertently stumble murder plot wind starring reality tv show duringcreditsstinger sean hayes sasso chris diamantopoulos bobby farrelly peter farrelly,movie
Corpse Bride,corpse bride romance fantasy animation music set th century european village stop motion animation feature follows story victor young man whisked away underworld wed mysterious corpse bride real bride victoria wait bereft land living shyness england cheating old town grave skeleton musical marriage wedding ring stop motion animation money wedding corpse wedding ceremony parent dark fantasy european ring piano johnny depp helena bonham carter emily watson tim burton mike johnson,movie
Glory Road,glory road drama texas western coach haskins led first black starting line college basketball team ncaa national championship basketball racial segregation teacher student josh lucas derek luke jon voight james gartner,movie
Sicario,sicario action crime drama mystery thriller young female fbi agent join secret cia operation take mexican cartel bos job end pushing ethical moral value limit mexico cia smoking texas fbi murder dirty cop soccer drug fbi agent night vision death daughter tunnel el paso moral dilemma death wife mexican cartel emily blunt benicio del toro josh brolin denis villeneuve,movie
Southpaw,southpaw action drama billy great hope reigning junior middleweight boxing champion impressive career loving wife daughter lavish lifestyle however tragedy strike billy hit rock bottom losing family house manager soon find unlikely savior tick willis former fighter train city toughest amateur boxer future line hope fight reclaim trust love sport jake gyllenhaal rachel mcadams forest whitaker antoine fuqua,movie
Drag Me to Hell,drag hell horror thriller denying woman extension need keep home loan officer christine brown see promising life take startling turn worse christine convinced cursed gypsy boyfriend skeptical hope seems lie psychic claim help lift curse keep soul dragged straight hell gypsy work gore curse psychologist psychic evil loan officer obituary engagement ring gypsy alison lohman justin long lorna raver sam raimi,movie
The Age of Adaline,age adaline fantasy drama romance year old adaline recovers nearly lethal accident inexplicably stop growing older year stretch adaline keep secret meet man change life san francisco immortality love forever blake lively michiel huisman harrison ford lee toland krieger,movie
Secondhand Lions,secondhand lion comedy drama family secondhand lion follows comedic adventure introverted boy left doorstep pair reluctant eccentric great uncle whose exotic remembrance stir boy spirit ignite men life texas money veteran michael caine robert duvall haley joel osment tim mccanlies,movie
Step Up 3D,step drama romance tight knit group new york city street dancer including luke natalie team nyu freshman moose find pitted world best hip hop dancer high stake showdown change life forever musical duringcreditsstinger rick malambri adam g sevani joe slaughter jon chu,movie
Blue Crush,blue crush adventure nothing get anne marie board living beach shack three roommate dawn every morning conquer wave count day pipe master competition transplanted hawaii one blessing anne marie find need adrenaline charged surf scene pro quarterback matt tollman come along sea surfer hawaii sport job american football player pretty woman kate bosworth matthew davis michelle rodriguez john stockwell,movie
Stranger Than Fiction,stranger fiction comedy drama fantasy romance everybody know life story story life harold crick average irs agent monotonous boring repetitive one day change harold begin hear author inside head narrating life narration reveals going die harold must find author convince change ending professor literature love romantic comedy author fate death dying novelist publisher ferrell maggie gyllenhaal dustin hoffman marc forster,movie
30 Days of Night,day night horror thriller story isolated alaskan town plunged darkness month year sun sink horizon last ray light fade town attacked bloodthirsty gang vampire bent uninterrupted orgy destruction small town husband wife sheriff team stand survivor certain destruction sunrise winter vampire marriage crisis alaska based graphic novel blizzard blood lust polar night josh hartnett melissa george ben foster david slade,movie
The Cabin in the Woods,cabin wood horror thriller five college friend spend weekend remote cabin wood get bargained together must discover truth behind cabin wood cabin plot twist cabin wood filmed killing video wall speaker phone mounted animal head young adult kristen connolly chris hemsworth anna hutchison drew goddard,movie
Meet the Spartans,meet spartan comedy creator scary movie date movie come tongue cheek parody sword sandal epic dubbed meet spartan th century fox production written directed filmmaking team jason friedberg aaron seltzer sure leonidas may nothing cape leather underwear protect razor sharp sword persian enemy fight queen penguin black hole men army aftercreditsstinger duringcreditsstinger sean maguire carmen electra ken davitian jason friedberg aaron seltzer,movie
Midnight Run,midnight run adventure comedy crime accountant embezzles million mob money jump bail chased bounty hunter fbi mafia crooked lawyer bail jumper mafia accountant stretch limousine manhattan new york city southwestern u bus station police surveillance robert de niro charles grodin yaphet kotto martin brest,movie
The Running Man,running man action science fiction global economy collapsed american society become totalitarian police state censoring cultural activity government pacifies populace broadcasting number game show convicted criminal fight life including gladiator style running man hosted ruthless damon killian runner attempt evade stalker certain death chance pardoned set free prison chase hunting human being game show dystopia dystopic future arnold schwarzenegger richard dawson mar conchita alonso paul michael glaser,movie
Little Shop of Horrors,little shop horror horror comedy music seymour krelborn nerdy orphan working mushnik flower shop urban skid row harbor crush fellow co worker audrey fulquard berated mr mushnik daily one day seymour seeking new mysterious plant find mysterious unidentified plant call audrey ii plant seems craving blood soon begin sing supper flower solar eclipse florist assistant plant success aggression plant investigation nerd blonde carnivorous plant remake crush based play motorcycle eclipse part animated dentist bum killer plant based stage musical skid row based film plant food flesh eating plant inept assistant cult classic man eating plant rick moranis ellen greene vincent gardenia frank oz,movie
Hanna,hanna action thriller adventure year old girl raised father perfect assassin dispatched mission across europe tracked ruthless operative face startling revelation existence question humanity assassin self sacrifice strip club secret agent training british road trip dead animal teenage girl pistol duringcreditsstinger saoirse ronan eric bana vicky krieps joe wright,movie
Mortal Kombat: Annihilation,mortal kombat annihilation action fantasy science fiction group heroic warrior six day save planet mortal kombat annihilation succeed must survive spectacular series challenge human god ever encountered battle evil warlord bent taking control earth sequel film mortal kombat based popular video game martial art authority tournament battle fighting based video game hand hand combat robin shou talisa soto james remar john r leonetti,movie
Larry Crowne,larry crowne comedy romance drama losing job middle aged man reinvents going back college classroom college teacher diner loss job economics yard sale cell phone scooter back school tom hank julia robert bryan cranston tom hank,movie
Carrie,carrie drama horror reimagining classic horror tale carrie white shy girl outcast peer sheltered deeply religious mother unleashes telekinetic terror small town pushed far senior prom terror based novel power telekinesis high school remake revenge murder prank prom teenager explosion violence religious humiliation woman director chlo grace moretz julianne moore judy greer kimberly peirce,movie
Take the Lead,take lead music former professional dancer volunteer teach dance new york public school system background first clash student taste together create completely new style dance based story ballroom dancer pierre dulane dancing master dance musical woman director antonio banderas rob brown yaya dacosta liz friedlander,movie
Gridiron Gang,gridiron gang action adventure crime drama teenager juvenile detention center leadership counselor gain self esteem playing football together competition prisoner probation assistant sport violence american football player dwayne johnson xzibit l scott caldwell phil joanou,movie
What's the Worst That Could Happen?,worst could happen action comedy thief kevin caffery attempt rob home rich businessman max fairbanks fairbanks catch steal cherished ring girlfriend gave caffery bent revenge getting ring back help partner business man master thief thief ring martin lawrence danny devito john leguizamo sam weisman,movie
9,action adventure animation science fiction thriller first come life find post apocalyptic world human gone chance discovers small community others like taking refuge fearsome machine roam earth intent extinction despite neophyte group convinces others hiding good man v machine hope post apocalyptic dystopia friendship war steampunk coward end world rag doll christopher plummer martin landau john c reilly shane acker,movie
Side Effects,side effect thriller crime drama woman turn prescription medication way handling anxiety concerning husband upcoming release prison fraud cover murder drug prescription medication professional reputation jude law rooney mara catherine zeta jones steven soderbergh,movie
The Prince & Me,prince comedy romance fairy tale love story pre med student paige fall love danish prince eddie refused follow tradition parent come u quench thirst rebellion paige edward come two different world undeniable attraction secret identity wisconsin prince college modesty romantic comedy student falling love woman director young adult julia stile luke mably ben miller martha coolidge,movie
Winnie the Pooh,winnie pooh animation family ordinary day hundred acre wood winnie pooh set find honey misinterpreting note christopher robin pooh convinces tigger rabbit piglet owl kanga roo eeyore young friend captured creature named backson set save owl tiger aftercreditsstinger duringcreditsstinger jim cummings travis oates bud luckey stephen anderson hall,movie
Dumb and Dumberer: When Harry Met Lloyd,dumb dumberer harry met lloyd comedy wacky prequel blockbuster go back lame brained harry lloyd day classmate rhode island high school unprincipled principal put pair remedial course part scheme fleece school skateboarding adoption friendship fate mimi rogers eric christian olsen luis guzm n troy miller,movie
Bulworth,bulworth comedy drama suicidally disillusioned liberal politician put contract take opportunity bluntly honest voter affecting rhythm speech hip hop music culture mission murder politics election campaign liberal swearing political satire hip hop culture warren beatty halle berry sean astin warren beatty,movie
Get on Up,get drama music chronicle james brown rise extreme poverty become one influential musician history biography james brown chadwick boseman nelsan elli dan aykroyd tate taylor,movie
One True Thing,one true thing drama romance career woman reassesses parent life forced care cancer stricken mother dysfunctional family cancer death parent meryl streep ren e zellweger william hurt carl franklin,movie
Virtuosity,virtuosity action crime science fiction thriller law enforcement technology advancement centre letac developed sid version sadistic intelligent dangerous virtual reality entity synthesized personality serial killer one man stop artificial intelligence android hologram computer program virtual reality ex cop visual effect police training denzel washington russell crowe kelly lynch brett leonard,movie
My Super Ex-Girlfriend,super ex girlfriend fantasy drama action comedy crime science fiction new york architect matt saunders dump new girlfriend jenny johnson smart sexy reluctant superhero known g girl us power make life living hell new york flying ex boyfriend ex girlfriend disappointment supernatural power shark uma thurman luke wilson anna faris ivan reitman,movie
Deliver Us from Evil,deliver u evil thriller crime horror frightening wave violence sweep new york city troubled cop sarchie fails find rational explanation bizarre crime however eye opened frightening alternate reality renegade jesuit priest mendoza convinces demonic possession may blame gruesome murder together wage valiant supernatural struggle rid city otherworldly evil possessed demon occult demonic possession eric bana edgar ram rez olivia munn scott derrickson,movie
Sanctum,sanctum action thriller action thriller sanctum executive producer james cameron follows team underwater cave diver treacherous expedition largest beautiful least accessible cave system earth tropical storm force deep cavern must fight raging water deadly terrain creeping panic search unknown escape route sea master diver frank mcguire richard roxburgh explored south pacific esa ala cave month exit cut flash flood frank team including year old son josh rhys wakefield financier carl hurley ioan gruffudd forced radically alter plan dwindling supply crew must navigate underwater labyrinth make soon confronted unavoidable question survive trapped forever cave water adventure ioan gruffudd richard roxburgh alice parkinson alister grierson,movie
Little Black Book,little black book comedy romance drama determined learn boyfriend past relationship stacy work talk show becomes bona fide snoop colleague barb stacy get name derek ex lover interview supposedly upcoming show learns add confusion plan begin unravel befriends one woman plan brittany murphy holly hunter kathy bates nick hurran,movie
The Five-Year Engagement,five year engagement comedy exactly one year tom meet violet surprise wedding ring account tom violet destined happily ever however engaged couple keep getting tripped long walk aisle sex san francisco restaurant frustration chase offer engagement love psychologist wedding proposal chef ceremony englishwoman ring unemployed jason segel emily blunt chris pratt nicholas stoller,movie
Mr. 3000,mr comedy drama aging baseball star go nickname mr find many year retirement quite reach hit age back try reach goal baseball sport bernie mac angela bassett michael rispoli charles stone iii,movie
The Next Three Days,next three day romance drama thriller crime married couple life turned upside wife accused murder lara brennan arrested murdering bos argument seems seen leaving scene crime fingerprint murder weapon husband john would spend next year trying get released evidence negates evidence strain separated family especially son get john decides break lot research find way evidence passport argument county jail fingerprint appeal escape artist russell crowe elizabeth bank brian dennehy paul haggis,movie
Ultraviolet,ultraviolet science fiction action thriller late st century subculture human emerged modified genetically vampire like disease giving enhanced speed incredible stamen acute intelligence set apart normal healthy human world pushed brink worldwide civil war aimed destruction diseased population middle crossed fire infected woman ultraviolet find protecting nine year old boy marked death human government believed threat human skyscraper vampire victim dystopia boy doctor violence one woman army hemophagia stamen totalitarian antigen cure strength biological warfare lab technician rooftop fight gravity light sensitivity milla jovovich cameron bright nick chinlund kurt wimmer,movie
Assault on Precinct 13,assault precinct thriller new year eve inside police station closed good officer jake roenick must cobble together force made cop criminal save mob looking kill mobster marion bishop drug abuse mexican standoff junkie prison cell snow storm transport prisoner dying death molotow cocktail new year day remake deception survival shootout police corruption brutality power outage violence silencer machine gun night vision goggles exploding bus detroit michigan ethan hawke laurence fishburne gabriel byrne jean fran ois richet,movie
The Replacement Killers,replacement killer action drama crime thriller hired assassin john lee asked chinatown crime bos terence wei murder young son policeman stan zedkov lee boy sight conscience get better spare child life afraid wei take revenge family china lee seek expert forger meg coburn obtain passport need get country band replacement killer soon trail usa china assault rifle sniper chinatown drug dealer hitman funeral conscientious objector revenge run fugitive one man army sunglass drug lord silencer uzi police raid contract killer replacement chow yun fat mira sorvino michael rooker antoine fuqua,movie
Fled,fled action comedy thriller routine prison work detail convict piper chained dodge cyberhacker gunfire break apparently attack related stolen money mafia computer file somebody want desperately bury pair exactly enjoy company escape must work together reach atlanta alive luckily meet woman may willing help hacker undercover agent mafia chain gang fugitive floppy disk laurence fishburne stephen baldwin salma hayek kevin hook,movie
Eight Legged Freaks,eight legged freak action comedy horror thriller resident rural mining town discover unfortunate chemical spill caused hundred little spider mutate overnight size suv mining engineer chris mccormack sheriff sam parker mobilize eclectic group townspeople including sheriff young son mike daughter ashley paranoid radio announcer harlan battle bloodthirsty eight legged beast pick wetting pant hockey mask barbershop perfume aunt nephew relationship straight razor town meeting forklift contamination spider animal horror david arquette kari wuhrer scott terra ellory elkayem,movie
